23.11273,67.21116
24.55317,67.53525
25.99275,67.88752
27.43125,68.24593
28.86938,68.60123
30.30610,69.00727
31.74191,69.38798
33.17715,69.74414
24.55291,69.08252
25.99253,69.43484
27.43136,69.79330
28.86924,70.15680
30.30647,70.53012
31.74201,70.91078
33.17707,71.30037
34.61082,71.69949
36.04350,72.14127
37.47433,72.56223
37.47452,74.10260
36.04318,73.68176
34.61077,73.26405
33.17687,72.83345
31.74220,72.47346
30.30629,72.06348
28.86946,71.69081
28.86932,73.24467
30.30635,73.61737
31.74217,73.99562
33.17687,74.40193
34.61099,74.78427
