Date,Net Change
20220428,-0.1345365
20220518,0.0562509
20220602,-0.0400338
20220616,-0.0211653
20220706,0.0779517
20220824,0.11790809999999999
20220912,0.010875599999999992
20220922,-0.03283650000000002
20221005,-0.002822400000000016
20221021,0.05399100000000001
20221108,-0.055161
20221128,-0.010326599999999998
20221212,0.021440699999999993
20230111,-0.0173655
20230113,0.02186100000000002
20230131,0.008218800000000016
20230228,-0.06558569999999998
20230310,0.04882679999999999
20230320,0.02521259999999998
20230324,-0.016510500000000008
20230326,-0.0700704
20230328,-0.10364490000000001
20230414,0.0029124000000000016
20230416,0.1412793
20230418,-0.005438700000000012
20230420,0.019544399999999996
20230518,0.05195609999999999
20230522,-0.035896500000000005
20230607,-0.1437111
20230622,-0.015399900000000003
20230623,0.1512
20230810,-0.08412660000000001
20230911,0.1163763
20231011,-0.01195829999999998
20231012,0.0010799999999999983
20231030,-0.02660130000000001
20231103,0.0361422
20231110,-0.053469899999999994
20231114,0.037467000000000014
20231122,-0.006513299999999987
20231129,0.006519599999999997
20231209,0.00014579999999997994
20240213,-0.0411327
20240218,0.023486399999999973
20240229,-0.007812899999999985
20240320,0.021572999999999978
